caseid,task,user,end_timestamp,start_timestamp
10,Start,Start,2011/1/2 2:52,2011/1/2 2:52
10,Create Purchase Requisition,Esmana Liubiata,2011/1/2 3:43,2011/1/2 2:52
10,Create Request for Quotation,Immanuel Karagianni,2011/1/2 10:32,2011/1/2 10:25
10,Analyze Request for Quotation,Francois de Perrier,2011/1/2 15:59,2011/1/2 15:32
10,Send Request for Quotation to Supplier,Karel de Groot,2011/1/3 13:07,2011/1/3 12:50
10,Create Quotation comparison Map,Karel de Groot,2011/1/3 14:28,2011/1/3 13:31
10,Analyze Quotation Comparison Map,Anna Kaufmann,2011/1/3 22:05,2011/1/3 21:44
10,Choose best option,Nico Ojenbeer,2011/1/3 22:05,2011/1/3 22:05
10,Settle Conditions With Supplier,Karel de Groot,2011/1/4 4:31,2011/1/3 23:53
10,Create Purchase Order,Karel de Groot,2011/1/4 9:52,2011/1/4 9:44
10,Confirm Purchase Order,Carmen Finacse,2011/1/5 2:58,2011/1/5 2:49
10,Deliver Goods Services,Kiu Kan,2011/1/7 1:19,2011/1/5 11:48
10,Release Purchase Order,Tesca Lobes,2011/1/7 8:55,2011/1/7 8:54
10,Approve Purchase Order for payment,Karel de Groot,2011/1/9 2:56,2011/1/9 2:55
10,Send Invoice,Karen Clarens,2011/1/10 0:23,2011/1/10 0:23
10,Release Supplier's Invoice,Karalda Nimwada,2011/1/10 14:48,2011/1/10 14:45
10,Settle Dispute With Supplier,Karalda Nimwada,2011/1/10 15:34,2011/1/10 15:09
10,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/1/10 15:43,2011/1/10 15:43
10,Pay Invoice,Pedro Alvares,2011/1/10 16:16,2011/1/10 16:03
10,End,End,2011/1/10 16:16,2011/1/10 16:16
100,Start,Start,2011/1/13 11:42,2011/1/13 11:42
100,Create Purchase Requisition,Esmana Liubiata,2011/1/13 12:19,2011/1/13 11:42
100,Create Request for Quotation,Clement Duchot,2011/1/13 20:13,2011/1/13 20:04
100,Analyze Request for Quotation,Francois de Perrier,2011/1/16 20:52,2011/1/16 20:31
100,End,End,2011/1/16 20:52,2011/1/16 20:52
1004,Start,Start,2011/5/26 19:39,2011/5/26 19:39
1004,Create Purchase Requisition,Tesca Lobes,2011/5/26 19:56,2011/5/26 19:39
1004,Analyze Purchase Requisition,Heinz Gutschmidt,2011/5/27 13:44,2011/5/27 13:35
1004,Create Request for Quotation,Heinz Gutschmidt,2011/5/27 13:51,2011/5/27 13:50
1004,Analyze Request for Quotation,Francois de Perrier,2011/5/31 23:18,2011/5/31 22:43
1004,End,End,2011/5/31 23:18,2011/5/31 23:18
101,Start,Start,2011/1/13 12:14,2011/1/13 12:14
101,Create Purchase Requisition,Anne Olwada,2011/1/13 12:56,2011/1/13 12:14
101,Analyze Purchase Requisition,Heinz Gutschmidt,2011/1/14 12:00,2011/1/14 11:56
101,Create Request for Quotation,Heinz Gutschmidt,2011/1/14 12:11,2011/1/14 12:08
101,Analyze Request for Quotation,Karel de Groot,2011/1/17 1:27,2011/1/17 1:11
101,Send Request for Quotation to Supplier,Francois de Perrier,2011/1/18 23:35,2011/1/18 23:16
101,Create Quotation comparison Map,Francois de Perrier,2011/1/19 7:02,2011/1/19 3:44
101,Analyze Quotation Comparison Map,Penn Osterwalder,2011/1/19 13:49,2011/1/19 13:39
101,Choose best option,Alberto Duport,2011/1/19 13:49,2011/1/19 13:49
101,Settle Conditions With Supplier,Magdalena Predutta,2011/1/20 8:09,2011/1/19 22:34
101,Create Purchase Order,Francois de Perrier,2011/1/22 1:58,2011/1/22 1:45
101,Confirm Purchase Order,Carmen Finacse,2011/1/22 7:04,2011/1/22 6:52
101,Deliver Goods Services,Sean Manney,2011/1/26 9:11,2011/1/25 19:54
101,Release Purchase Order,Tesca Lobes,2011/1/26 17:13,2011/1/26 17:12
101,Approve Purchase Order for payment,Magdalena Predutta,2011/1/27 6:19,2011/1/27 6:18
101,Send Invoice,Esmeralda Clay,2011/1/28 7:19,2011/1/28 7:19
101,Release Supplier's Invoice,Pedro Alvares,2011/1/28 21:39,2011/1/28 21:33
101,Authorize Supplier's Invoice payment,Pedro Alvares,2011/1/28 21:39,2011/1/28 21:39
101,Pay Invoice,Karalda Nimwada,2011/1/28 22:14,2011/1/28 22:00
101,End,End,2011/1/28 22:14,2011/1/28 22:14
1015,Start,Start,2011/5/28 19:50,2011/5/28 19:50
1015,Create Purchase Requisition,Alberto Duport,2011/5/28 20:05,2011/5/28 19:50
1015,Analyze Purchase Requisition,Heinz Gutschmidt,2011/5/29 19:38,2011/5/29 19:34
1015,End,End,2011/5/29 19:38,2011/5/29 19:38
1018,Start,Start,2011/5/28 22:39,2011/5/28 22:39
1018,Create Purchase Requisition,Penn Osterwalder,2011/5/28 23:16,2011/5/28 22:39
1018,Create Request for Quotation,Nico Ojenbeer,2011/5/29 2:55,2011/5/29 2:49
1018,Analyze Request for Quotation,Francois de Perrier,2011/6/3 11:00,2011/6/3 10:21
1018,Amend Request for Quotation,Maris Freeman,2011/6/4 3:07,2011/6/4 2:45
1018,Analyze Request for Quotation,Francois de Perrier,2011/6/7 0:16,2011/6/7 0:08
1018,Amend Request for Quotation,Christian Francois,2011/6/7 1:11,2011/6/7 1:02
1018,Analyze Request for Quotation,Francois de Perrier,2011/7/2 21:12,2011/7/2 20:56
1018,Amend Request for Quotation,Heinz Gutschmidt,2011/7/3 13:20,2011/7/3 13:04
1018,Analyze Request for Quotation,Magdalena Predutta,2011/8/8 6:19,2011/8/8 5:44
1018,Send Request for Quotation to Supplier,Magdalena Predutta,2011/8/8 12:10,2011/8/8 11:48
1018,Create Quotation comparison Map,Karel de Groot,2011/8/8 16:33,2011/8/8 12:21
1018,Analyze Quotation Comparison Map,Miu Hanwan,2011/8/8 23:21,2011/8/8 22:54
